USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
1RV22CY001,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY002,4,4,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY003,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY004,4,4,7,4,,,,4,8,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY005,4,3,6,3,,,,3,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY006,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY007,4,3,6,3,,,,3,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY008,4,4,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY009,4,3,6,3,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY010,4,3,6,3,,,,4,6,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY011,4,3,5,4,,,,4,6,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY012,4,3,5,3,,,,3,6,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY013,4,3,5,3,,,,3,6,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY014,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY015,4,4,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY016,4,3,5,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY017,4,4,7,4,,,,4,8,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY018,4,3,5,3,,,,3,6,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY019,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY020,4,3,6,3,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY022,4,3,6,3,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY023,4,4,7,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY025,4,3,5,3,,,,3,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY026,4,4,6,4,,,,4,8,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY028,4,3,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY029,4,3,5,3,,,,3,6,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY030,4,4,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY031,4,3,5,4,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY032,4,3,6,4,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY033,4,3,5,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY034,4,3,7,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY035,4,4,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY036,4,3,5,4,,,,4,5,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY037,3,3,6,4,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY038,4,4,7,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY039,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY040,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY041,3,3,5,4,,,,3,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY042,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY043,3,3,5,4,,,,4,5,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY044,4,3,7,4,,,,4,7,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY045,4,3,5,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY046,4,4,8,4,,,,4,7,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY047,4,3,6,3,,,,4,6,3,3,,,,,,,,,,,,,,,,,,,
1RV22CY048,4,3,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY049,4,3,4,3,,,,4,4,3,2,,,,,,,,,,,,,,,,,,,
1RV22CY050,4,4,7,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY051,4,4,8,4,,,,4,7,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY052,4,3,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY053,4,3,7,4,,,,4,7,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY054,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV22CY055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV22CY056,4,3,5,3,,,,3,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY057,4,3,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY058,4,4,7,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY059,4,3,5,4,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY060,4,3,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY061,4,3,5,3,,,,3,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY062,4,3,6,3,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY063,4,4,6,4,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV22CY064,4,3,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY065,4,3,6,4,,,,4,6,4,4,,,,,,,,,,,,,,,,,,,
1RV22CY066,4,3,6,4,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV23CY400,4,3,6,4,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV23CY401,4,3,5,3,,,,4,6,3,4,,,,,,,,,,,,,,,,,,,
1RV23CY402,4,3,6,4,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV23CY403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV23CY404,4,3,6,3,,,,4,5,3,4,,,,,,,,,,,,,,,,,,,
1RV23CY405,4,3,6,3,,,,3,6,3,4,,,,,,,,,,,,,,,,,,,
