USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV21CS149,4,4,5,4,,,4,5,4,4,,,,,,,,,,,,,,,,,,,,
1RV21CS185,2,2,4,4,,,2,5,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS001,4,4,7,3,,,4,5,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS002,4,4,7,4,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS003,4,4,6,4,,,4,8,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS004,4,3,7,4,,,4,8,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS005,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS006,4,4,5,4,,,4,4,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS007,4,4,5,4,,,4,4,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS008,4,3,7,3,,,4,7,4,3,,,,,,,,,,,,,,,,,,,,
1RV22CS009,4,4,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS010,4,3,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS011,4,3,5,4,,,4,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS012,4,4,7,4,,,4,8,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS013,4,4,7,4,,,4,8,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS014,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS015,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS016,4,4,5,4,,,4,7,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS017,4,3,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS018,4,4,8,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
